Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID,LocationID
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,2.36448,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,32.8913,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,36.3346,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,40.4115,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,43.0497,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2010,3.01042,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2020,4.22634,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2030,13.7678,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2040,24.8222,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2050,36.0266,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2060,49.3369,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2070,54.5019,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2080,60.6173,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2090,64.5745,1
MU,  Transition Risk,Reputation,Materials cost ,RCP8.5,2010,2.50868,1
MU,  Transition Risk,Reputation,Materials cost ,RCP8.5,2020,3.52195,1
MU,  Transition Risk,Reputation,Materials cost ,RCP8.5,2030,11.4732,1
MU,  Transition Risk,Reputation,Materials cost ,RCP8.5,2040,20.6851,1
MU,  Transition Risk,Reputation,Materials cost ,RCP8.5,2050,30.0222,1
MU,  Transition Risk,Reputation,Materials cost ,RCP8.5,2060,41.1141,1
MU,  Transition Risk,Reputation,Materials cost ,RCP8.5,2070,45.4183,1
MU,  Transition Risk,Reputation,Materials cost ,RCP8.5,2080,50.5143,1
MU,  Transition Risk,Reputation,Materials cost ,RCP8.5,2090,53.8121,1
MU,  Transition Risk,Technology,New technology ,RCP8.5,2010,1.75608,1
MU,  Transition Risk,Technology,New technology ,RCP8.5,2020,2.46537,1
MU,  Transition Risk,Technology,New technology ,RCP8.5,2030,8.0312,1
MU,  Transition Risk,Technology,New technology ,RCP8.5,2040,14.4796,1
MU,  Transition Risk,Technology,New technology ,RCP8.5,2050,21.0155,1
MU,  Transition Risk,Technology,New technology ,RCP8.5,2060,28.7799,1
MU,  Transition Risk,Technology,New technology ,RCP8.5,2070,31.7928,1
MU,  Transition Risk,Technology,New technology ,RCP8.5,2080,35.36,1
MU,  Transition Risk,Technology,New technology ,RCP8.5,2090,37.6685,1
MU,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2010,0.752604,1
MU,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2020,1.05659,1
MU,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2030,3.44195,1
MU,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2040,6.20555,1
MU,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2050,9.00665,1
MU,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2060,12.3342,1
MU,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2070,13.6255,1
MU,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2080,15.1543,1
MU,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2090,16.1436,1
MU,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,1.25434,1
MU,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,1.76097,1
MU,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,5.7366,1
MU,  Transition Risk,Market,Reputation damage ,RCP8.5,2040,10.3426,1
MU,  Transition Risk,Market,Reputation damage ,RCP8.5,2050,15.0111,1
MU,  Transition Risk,Market,Reputation damage ,RCP8.5,2060,20.5571,1
MU,  Transition Risk,Market,Reputation damage ,RCP8.5,2070,22.7092,1
MU,  Transition Risk,Market,Reputation damage ,RCP8.5,2080,25.2572,1
MU,  Transition Risk,Market,Reputation damage ,RCP8.5,2090,26.9061,1
MU,  Physical Risk,Acute,Storm damage ,RCP8.5,2010,17.5608,1
MU,  Physical Risk,Acute,Storm damage ,RCP8.5,2020,24.6536,1
MU,  Physical Risk,Acute,Storm damage ,RCP8.5,2030,80.312,1
MU,  Physical Risk,Acute,Storm damage ,RCP8.5,2040,144.796,1
MU,  Physical Risk,Acute,Storm damage ,RCP8.5,2050,210.155,1
MU,  Physical Risk,Acute,Storm damage ,RCP8.5,2060,287.799,1
MU,  Physical Risk,Acute,Storm damage ,RCP8.5,2070,317.928,1
MU,  Physical Risk,Acute,Storm damage ,RCP8.5,2080,353.6,1
MU,  Physical Risk,Acute,Storm damage ,RCP8.5,2090,376.685,1
MU,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2010,25.0868,1
MU,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2020,35.2195,1
MU,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2030,114.732,1
MU,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2040,206.851,1
MU,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2050,300.222,1
MU,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2060,411.141,1
MU,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2070,454.182,1
MU,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2080,505.143,1
MU,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2090,538.121,1
MU,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2010,4.51563,1
MU,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2020,6.33951,1
MU,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2030,20.6517,1
MU,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2040,37.2332,1
MU,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2050,54.0397,1
MU,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2060,74.0052,1
MU,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2070,81.753,1
MU,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2080,90.9256,1
MU,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2090,96.8618,1
GOOGL,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,4.80285,10
GOOGL,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,30.3829,10
GOOGL,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,38.7231,10
GOOGL,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,38.9045,10
GOOGL,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,55.7466,10
GOOGL,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,55.7466,10
GOOGL,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,80.0514,10
GOOGL,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,112.1,10
GOOGL,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,134.031,10
GOOGL,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,0.75616,10
GOOGL,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,3.7456,10
GOOGL,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,16.3044,10
GOOGL,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,74.3097,10
GOOGL,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,82.6786,10
GOOGL,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,84.0134,10
GOOGL,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,85.8463,10
GOOGL,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,88.3852,10
GOOGL,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,91.9322,10
GOOGL,  Physical Risk,Chronic,Drought ,RCP8.5,2010,18,10
GOOGL,  Physical Risk,Chronic,Drought ,RCP8.5,2020,9,10
GOOGL,  Physical Risk,Chronic,Drought ,RCP8.5,2030,36,10
GOOGL,  Physical Risk,Chronic,Drought ,RCP8.5,2040,58.5,10
GOOGL,  Physical Risk,Chronic,Drought ,RCP8.5,2050,72,10
GOOGL,  Physical Risk,Chronic,Drought ,RCP8.5,2060,67.5,10
GOOGL,  Physical Risk,Chronic,Drought ,RCP8.5,2070,94.5,10
GOOGL,  Physical Risk,Chronic,Drought ,RCP8.5,2080,85.5,10
GOOGL,  Physical Risk,Chronic,Drought ,RCP8.5,2090,72,10
GOOGL,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,1.07398,10
GOOGL,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,1.23102,10
GOOGL,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,3.42016,10
GOOGL,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,7.55616,10
GOOGL,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,11.3544,10
GOOGL,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,15.5574,10
GOOGL,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,21.6137,10
GOOGL,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,28.2199,10
GOOGL,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,29.4393,10
GOOGL,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,2.86395,10
GOOGL,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2020,3.28272,10
GOOGL,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2030,9.12043,10
GOOGL,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2040,20.1498,10
GOOGL,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2050,30.2785,10
GOOGL,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2060,41.4865,10
GOOGL,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2070,57.6364,10
GOOGL,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2080,75.2531,10
GOOGL,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2090,78.5047,10
GOOGL,  Opportunity,Resilience,Energy resilience ,RCP8.5,2010,2.68495,10
GOOGL,  Opportunity,Resilience,Energy resilience ,RCP8.5,2020,3.07756,10
GOOGL,  Opportunity,Resilience,Energy resilience ,RCP8.5,2030,8.5504,10
GOOGL,  Opportunity,Resilience,Energy resilience ,RCP8.5,2040,18.8904,10
GOOGL,  Opportunity,Resilience,Energy resilience ,RCP8.5,2050,28.3861,10
GOOGL,  Opportunity,Resilience,Energy resilience ,RCP8.5,2060,38.8935,10
GOOGL,  Opportunity,Resilience,Energy resilience ,RCP8.5,2070,54.0342,10
GOOGL,  Opportunity,Resilience,Energy resilience ,RCP8.5,2080,70.5497,10
GOOGL,  Opportunity,Resilience,Energy resilience ,RCP8.5,2090,73.5982,10
GOOGL,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,1.43198,10
GOOGL,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,1.64136,10
GOOGL,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,4.56021,10
GOOGL,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,10.0749,10
GOOGL,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,15.1393,10
GOOGL,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,20.7432,10
GOOGL,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,28.8182,10
GOOGL,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,37.6266,10
GOOGL,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,39.2524,10
GOOGL,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2010,2.14797,10
GOOGL,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2020,2.46204,10
GOOGL,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2030,6.84033,10
GOOGL,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2040,15.1123,10
GOOGL,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2050,22.7089,10
GOOGL,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2060,31.1148,10
GOOGL,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2070,43.2273,10
GOOGL,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2080,56.4399,10
GOOGL,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2090,58.8785,10
GOOGL,  Transition Risk,Reputation,Materials cost ,RCP8.5,2010,1.78997,10
GOOGL,  Transition Risk,Reputation,Materials cost ,RCP8.5,2020,2.0517,10
GOOGL,  Transition Risk,Reputation,Materials cost ,RCP8.5,2030,5.70027,10
GOOGL,  Transition Risk,Reputation,Materials cost ,RCP8.5,2040,12.5936,10
GOOGL,  Transition Risk,Reputation,Materials cost ,RCP8.5,2050,18.9241,10
GOOGL,  Transition Risk,Reputation,Materials cost ,RCP8.5,2060,25.929,10
GOOGL,  Transition Risk,Reputation,Materials cost ,RCP8.5,2070,36.0228,10
GOOGL,  Transition Risk,Reputation,Materials cost ,RCP8.5,2080,47.0332,10
GOOGL,  Transition Risk,Reputation,Materials cost ,RCP8.5,2090,49.0655,10
GOOGL,  Transition Risk,Technology,New technology ,RCP8.5,2010,1.25298,10
GOOGL,  Transition Risk,Technology,New technology ,RCP8.5,2020,1.43619,10
GOOGL,  Transition Risk,Technology,New technology ,RCP8.5,2030,3.99019,10
GOOGL,  Transition Risk,Technology,New technology ,RCP8.5,2040,8.81553,10
GOOGL,  Transition Risk,Technology,New technology ,RCP8.5,2050,13.2468,10
GOOGL,  Transition Risk,Technology,New technology ,RCP8.5,2060,18.1503,10
GOOGL,  Transition Risk,Technology,New technology ,RCP8.5,2070,25.2159,10
GOOGL,  Transition Risk,Technology,New technology ,RCP8.5,2080,32.9232,10
GOOGL,  Transition Risk,Technology,New technology ,RCP8.5,2090,34.3458,10
GOOGL,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2010,0.536991,10
GOOGL,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2020,0.61551,10
GOOGL,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2030,1.71008,10
GOOGL,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2040,3.77808,10
GOOGL,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2050,5.67722,10
GOOGL,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2060,7.77871,10
GOOGL,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2070,10.8068,10
GOOGL,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2080,14.11,10
GOOGL,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2090,14.7196,10
GOOGL,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,0.894985,10
GOOGL,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,1.02585,10
GOOGL,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,2.85014,10
GOOGL,  Transition Risk,Market,Reputation damage ,RCP8.5,2040,6.29681,10
GOOGL,  Transition Risk,Market,Reputation damage ,RCP8.5,2050,9.46204,10
GOOGL,  Transition Risk,Market,Reputation damage ,RCP8.5,2060,12.9645,10
GOOGL,  Transition Risk,Market,Reputation damage ,RCP8.5,2070,18.0114,10
GOOGL,  Transition Risk,Market,Reputation damage ,RCP8.5,2080,23.5166,10
GOOGL,  Transition Risk,Market,Reputation damage ,RCP8.5,2090,24.5327,10
GOOGL,  Physical Risk,Acute,Storm damage ,RCP8.5,2010,12.5298,10
GOOGL,  Physical Risk,Acute,Storm damage ,RCP8.5,2020,14.3619,10
GOOGL,  Physical Risk,Acute,Storm damage ,RCP8.5,2030,39.9019,10
GOOGL,  Physical Risk,Acute,Storm damage ,RCP8.5,2040,88.1553,10
GOOGL,  Physical Risk,Acute,Storm damage ,RCP8.5,2050,132.468,10
GOOGL,  Physical Risk,Acute,Storm damage ,RCP8.5,2060,181.503,10
GOOGL,  Physical Risk,Acute,Storm damage ,RCP8.5,2070,252.159,10
GOOGL,  Physical Risk,Acute,Storm damage ,RCP8.5,2080,329.232,10
GOOGL,  Physical Risk,Acute,Storm damage ,RCP8.5,2090,343.458,10
GOOGL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2010,17.8997,10
GOOGL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2020,20.517,10
GOOGL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2030,57.0027,10
GOOGL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2040,125.936,10
GOOGL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2050,189.241,10
GOOGL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2060,259.29,10
GOOGL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2070,360.228,10
GOOGL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2080,470.332,10
GOOGL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2090,490.654,10
GOOGL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2010,3.22194,10
GOOGL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2020,3.69306,10
GOOGL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2030,10.2605,10
GOOGL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2040,22.6685,10
GOOGL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2050,34.0633,10
GOOGL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2060,46.6722,10
GOOGL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2070,64.841,10
GOOGL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2080,84.6597,10
GOOGL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2090,88.3178,10
VISA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,1.28076,11
VISA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,8.10212,11
VISA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,10.3262,11
VISA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,10.3745,11
VISA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,14.8658,11
VISA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,14.8658,11
VISA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,21.347,11
VISA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,29.8932,11
VISA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,35.7417,11
VISA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,0.30328,11
VISA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,0.7276,11
VISA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,1.59256,11
VISA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,3.40208,11
VISA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,7.41472,11
VISA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,24.1078,11
VISA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,67.8376,11
VISA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,80,11
VISA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,80,11
VISA,  Physical Risk,Chronic,Drought ,RCP8.5,2010,0,11
VISA,  Physical Risk,Chronic,Drought ,RCP8.5,2020,0,11
VISA,  Physical Risk,Chronic,Drought ,RCP8.5,2030,4.5,11
VISA,  Physical Risk,Chronic,Drought ,RCP8.5,2040,9,11
VISA,  Physical Risk,Chronic,Drought ,RCP8.5,2050,18,11
VISA,  Physical Risk,Chronic,Drought ,RCP8.5,2060,27,11
VISA,  Physical Risk,Chronic,Drought ,RCP8.5,2070,31.5,11
VISA,  Physical Risk,Chronic,Drought ,RCP8.5,2080,22.5,11
VISA,  Physical Risk,Chronic,Drought ,RCP8.5,2090,22.5,11
VISA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,0.636066,11
VISA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,1.19912,11
VISA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,3.00265,11
VISA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,5.00207,11
VISA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,6.43656,11
VISA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,7.34738,11
VISA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,9.10555,11
VISA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,10.3386,11
VISA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,10.782,11
VISA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,1.69618,11
VISA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2020,3.19765,11
VISA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2030,8.00707,11
VISA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2040,13.3388,11
VISA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2050,17.1642,11
VISA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2060,19.593,11
VISA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2070,24.2815,11
VISA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2080,27.5697,11
VISA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2090,28.752,11
VISA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2010,1.59016,11
VISA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2020,2.99779,11
VISA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2030,7.50664,11
VISA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2040,12.5052,11
VISA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2050,16.0913,11
VISA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2060,18.3685,11
VISA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2070,22.764,11
VISA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2080,25.8465,11
